Index,GPS time,X,Y,Z,Lat,Lon,Alt (HAE)
76,5860,-2430630.071,-4703661.864,3545038.923,33.98290283,-117.3277828,294.765
77,5861,-2430627.896,-4703662.255,3545040.153,33.98291517,-117.32776,294.913
78,5862,-2430623.953,-4703663.94,3545040.948,33.98292283,-117.3277138,295.097
79,5863,-2430618.637,-4703666.824,3545041.162,33.98292367,-117.3276483,295.318
80,5864,-2430612.235,-4703670.569,3545041.017,33.98292067,-117.3275682,295.559
81,5865,-2430604.795,-4703674.791,3545041.046,33.98291917,-117.3274757,295.853
82,5866,-2430596.577,-4703679.357,3545041.231,33.98291917,-117.327374,296.192
83,5867,-2430587.673,-4703684.082,3545041.706,33.98292217,-117.3272648,296.548
84,5868,-2430578.303,-4703688.918,3545042.383,33.98292733,-117.3271508,296.923
85,5869,-2430568.634,-4703693.92,3545043.1,33.98293267,-117.327033,297.328
86,5870,-2430558.673,-4703699.126,3545043.772,33.98293733,-117.3269113,297.746
87,5871,-2430548.714,-4703704.469,3545044.348,33.98294083,-117.326789,298.213
88,5872,-2430539.284,-4703709.57,3545044.969,33.98294433,-117.326673,298.729
89,5873,-2430530.816,-4703713.956,3545045.786,33.9829505,-117.3265698,299.193
90,5874,-2430522.974,-4703717.94,3545046.627,33.982957,-117.3264747,299.613
91,5875,-2430515.854,-4703721.662,3545047.29,33.98296183,-117.3263877,300.015
92,5876,-2430509.584,-4703724.991,3545047.865,33.98296567,-117.326311,300.402
93,5877,-2430504.521,-4703727.693,3545048.267,33.98296833,-117.3262488,300.69
94,5878,-2430500.783,-4703729.726,3545048.506,33.98296967,-117.3262028,300.898
95,5879,-2430498.268,-4703731.083,3545048.638,33.98297033,-117.3261718,301.015
96,5880,-2430496.625,-4703731.986,3545048.73,33.98297083,-117.3261517,301.105
97,5881,-2430495.848,-4703732.404,3545048.758,33.982971,-117.326142,301.133
98,5882,-2430495.559,-4703732.563,3545048.771,33.982971,-117.3261385,301.148
99,5883,-2430495.561,-4703732.557,3545048.768,33.982971,-117.3261385,301.143
100,5884,-2430495.563,-4703732.56,3545048.77,33.982971,-117.3261385,301.146
101,5885,-2430495.563,-4703732.559,3545048.768,33.982971,-117.3261385,301.145
102,5886,-2430495.563,-4703732.56,3545048.77,33.982971,-117.3261385,301.147
103,5887,-2430495.561,-4703732.559,3545048.771,33.982971,-117.3261385,301.145
104,5888,-2430495.563,-4703732.564,3545048.771,33.982971,-117.3261385,301.15
105,5889,-2430495.561,-4703732.566,3545048.772,33.982971,-117.3261385,301.151
106,5890,-2430495.364,-4703732.663,3545048.776,33.982971,-117.3261362,301.15
107,5891,-2430493.968,-4703733.401,3545048.866,33.98297167,-117.326119,301.212
108,5892,-2430491.051,-4703734.709,3545049.358,33.98297617,-117.3260845,301.341
109,5893,-2430487.153,-4703735.856,3545050.726,33.98299033,-117.3260413,301.467
110,5894,-2430483.017,-4703736.073,3545053.392,33.98301883,-117.3260005,301.542
111,5895,-2430479.42,-4703734.729,3545057.502,33.983064,-117.3259725,301.481
112,5896,-2430477.822,-4703731.291,3545062.74,33.98312217,-117.3259743,301.267
113,5897,-2430479.222,-4703726.139,3545068.033,33.9831815,-117.3260133,300.964
114,5898,-2430482.65,-4703719.999,3545073.119,33.98323917,-117.3260768,300.588
115,5899,-2430486.619,-4703712.926,3545078.9,33.98330483,-117.32615,300.12
116,5900,-2430491.055,-4703705.011,3545085.418,33.98337867,-117.326232,299.621
117,5901,-2430495.948,-4703696.345,3545092.594,33.98345983,-117.3263222,299.111
118,5902,-2430501.266,-4703686.934,3545100.352,33.98354767,-117.32642,298.538
119,5903,-2430506.824,-4703676.804,3545108.761,33.983643,-117.3265238,297.892
120,5904,-2430512.641,-4703666.134,3545117.669,33.983744,-117.3266327,297.225
